mpio,dpto,lon,lat,salida,llegada,total
El Retorno,Guaviare,-72.627,2.33,11164,1658,12822
El Roble,Sucre,-75.199,9.1,3716,732,4448
El Rosal,Cundinamarca,-74.264,4.852,37,288,325
El Rosario,Nariño,-77.335,1.742,7728,3594,11322
El Santuario,Antioquia,-75.266,6.137,4478,6923,11401
El Tablón de Gómez,Nariño,-77.097,1.427,5912,2273,8185
El Tambo,Cauca,-76.811,2.451,32666,8568,41234
El Tambo,Nariño,-77.39,1.408,32666,8568,41234
El Tarra,Norte de Santander,-73.095,8.577,20982,7102,28084
El Zulia,Norte de Santander,-72.605,7.938,3089,4406,7495
Elías,Huila,-75.938,2.013,126,123,249
Encino,Santander,-73.099,6.137,144,55,199
Enciso,Santander,-72.7,6.668,244,64,308
Entrerrios,Antioquia,-75.518,6.566,210,238,448
Envigado,Antioquia,-75.583,6.167,476,4112,4588
Espinal,Tolima,-74.885,4.151,1017,2597,3614
Fúquene,Cundinamarca,-73.796,5.404,7,1,8
Facatativá,Cundinamarca,-74.35,4.813,342,5989,6331
Falan,Tolima,-74.953,5.123,1951,362,2313
Filadelfia,Caldas,-75.562,5.297,719,239,958
Filandia,Quindío,-75.659,4.674,158,812,970
Firavitoba,Boyacá,-72.993,5.669,9,3,12
Flandes,Tolima,-74.819,4.276,310,519,829
Florencia,Caquetá,-75.609,1.618,36407,103228,139635
Florencia,Cauca,-77.073,1.683,36407,103228,139635
Floresta,Boyacá,-72.918,5.86,7,0,7
Florián,Santander,-73.971,5.805,938,63,1001
Florida,Valle del Cauca,-76.235,3.324,7766,6972,14738
Floridablanca,Santander,-73.099,7.072,878,19761,20639
Fomeque,Cundinamarca,-73.893,4.485,219,138,357
Fonseca,La Guajira,-72.847,10.884,8827,9798,18625
Fortul,Arauca,-71.769,6.797,6962,4650,11612
Fosca,Cundinamarca,-73.939,4.339,197,9,206
Francisco Pizarro,Nariño,-78.658,2.041,4426,1058,5484
Fredonia,Antioquia,-75.671,5.924,711,843,1554
Fresno,Tolima,-75.036,5.154,4287,2386,6673
Frontino,Antioquia,-76.131,6.776,15025,9984,25009
Fuente de Oro,Meta,-73.618,3.463,2185,2307,4492
Fundación,Magdalena,-74.191,10.514,41409,36664,78073
Funes,Nariño,-77.449,1.001,430,209,639
Funza,Cundinamarca,-74.212,4.713,91,1586,1677
Fusagasugá,Cundinamarca,-74.366,4.338,2148,10806,12954
Génova,Quindío,-75.79,4.207,2998,1480,4478
Gómez Plata,Antioquia,-75.22,6.683,736,484,1220
Güepsa,Santander,-73.575,6.025,85,41,126
Güicán,Boyacá,-72.412,6.463,325,42,367
Gachala,Cundinamarca,-73.52,4.694,571,137,708
Gachancipá,Cundinamarca,-73.873,4.991,14,41,55
Gachantivá,Boyacá,-73.549,5.752,10,16,26
Gachetá,Cundinamarca,-73.637,4.817,498,191,689
Galán,Santander,-73.288,6.638,306,121,427
Galapa,Atlántico,-74.867,10.92,585,3407,3992
Galeras,Sucre,-75.049,9.16,6453,5455,11908
Gama,Cundinamarca,-73.611,4.763,143,15,158
Gamarra,Cesar,-73.744,8.32,1927,1259,3186
Gambita,Santander,-73.344,5.946,368,14,382
Gameza,Boyacá,-72.806,5.802,62,35,97
Garagoa,Boyacá,-73.364,5.083,221,384,605
Garzón,Huila,-75.628,2.197,6794,12045,18839
Gigante,Huila,-75.541,2.388,5526,3472,8998
Ginebra,Valle del Cauca,-76.268,3.724,934,1129,2063
Girón,Santander,-73.168,7.073,2456,18326,20782
Giraldo,Antioquia,-75.952,6.681,701,353,1054
Girardot,Cundinamarca,-74.798,4.313,629,3276,3905
Girardota,Antioquia,-75.444,6.38,1008,2467,3475
González,Cesar,-73.38,8.39,665,710,1375
Gramalote,Norte de Santander,-72.787,7.917,443,151,594
Granada,Antioquia,-75.184,6.143,37552,25510,63062
Granada,Cundinamarca,-74.351,4.52,37552,25510,63062
Granada,Meta,-73.706,3.547,37552,25510,63062
Guática,Risaralda,-75.799,5.316,2748,2584,5332
Guaca,Santander,-72.856,6.877,646,46,692
Guacamayas,Boyacá,-72.501,6.46,65,0,65
Guacarí,Valle del Cauca,-76.331,3.763,876,1789,2665
Guachené,Cauca,-76.392,3.134,232,216,448
Guachetá,Cundinamarca,-73.687,5.384,53,335,388
Guachucal,Nariño,-77.732,0.96,211,70,281
Guadalajara de Buga,Valle del Cauca,-76.299,3.901,7142,8777,15919
Guadalupe,Antioquia,-75.24,6.814,3445,3103,6548
Guadalupe,Huila,-75.755,2.025,3445,3103,6548
Guadalupe,Santander,-73.419,6.246,3445,3103,6548
Guaduas,Cundinamarca,-74.603,5.072,1847,1790,3637
Guaitarilla,Nariño,-77.55,1.13,457,285,742
Gualmatán,Nariño,-77.567,0.92,45,28,73
Guamal,Magdalena,-74.224,9.144,3803,1640,5443
Guamal,Meta,-73.77,3.881,3803,1640,5443
Guamo,Tolima,-74.968,4.031,2081,654,2735
Guapi,Cauca,-77.888,2.573,13350,7949,21299
Guapotá,Santander,-73.321,6.309,40,11,51
Guaranda,Sucre,-74.538,8.465,5788,9963,15751
Guarne,Antioquia,-75.442,6.278,1088,2766,3854
Guasca,Cundinamarca,-73.877,4.867,74,384,458
Guatapé,Antioquia,-75.162,6.233,1862,1469,3331
Guataquí,Cundinamarca,-74.79,4.517,121,26,147
Guatavita,Cundinamarca,-73.833,4.934,21,0,21
Guateque,Boyacá,-73.471,5.007,174,180,354
Guavatá,Santander,-73.701,5.954,229,35,264
Guayabal de Siquima,Cundinamarca,-74.467,4.878,829,279,1108
Guayabetal,Cundinamarca,-73.815,4.215,1349,676,2025
Guayatá,Boyacá,-73.49,4.967,137,70,207
Gutiérrez,Cundinamarca,-74.003,4.255,685,103,788
Hacarí,Norte de Santander,-73.146,8.322,15064,7472,22536
Hatillo de Loba,Bolívar,-74.078,8.956,871,531,1402
Hato,Santander,-73.308,6.543,565,380,945
Hato Corozal,Casanare,-71.765,6.156,2845,1651,4496
Hatonuevo,La Guajira,-72.759,11.069,938,2315,3253
Heliconia,Antioquia,-75.734,6.207,1780,727,2507
Herrán,Norte de Santander,-72.484,7.507,302,229,531
Herveo,Tolima,-75.177,5.08,2021,454,2475
Hispania,Antioquia,-75.907,5.799,246,263,509
Hobo,Huila,-75.451,2.583,1047,669,1716
Honda,Tolima,-74.742,5.202,808,718,1526
Ibagué,Tolima,-75.194,4.44,21004,86397,107401
Icononzo,Tolima,-74.532,4.176,4641,1003,5644
Iles,Nariño,-77.521,0.969,86,404,490
Imués,Nariño,-77.496,1.055,88,269,357
Inírida,Guainía,-67.919,3.866,4068,10419,14487
Inzá,Cauca,-76.064,2.549,3123,545,3668
Ipiales,Nariño,-77.646,0.828,5321,9435,14756
Iquira,Huila,-75.634,2.649,3275,982,4257
Isnos,Huila,-76.218,1.929,5304,3070,8374
Istmina,Chocó,-76.685,5.154,17120,11862,28982
Itagüí,Antioquia,-75.614,6.17,4522,18178,22700
Ituango,Antioquia,-75.765,7.172,33929,13686,47615
Iza,Boyacá,-72.98,5.612,23,10,33
Jambaló,Cauca,-76.324,2.778,7309,5198,12507
Jamundí,Valle del Cauca,-76.542,3.262,9523,11658,21181
Jardín,Antioquia,-75.819,5.598,1322,746,2068
Jenesano,Boyacá,-73.364,5.386,35,32,67
Jericó,Antioquia,-75.785,5.79,513,351,864
Jericó,Boyacá,-72.571,6.146,513,351,864
Jerusalén,Cundinamarca,-74.695,4.562,393,35,428
Jesús María,Santander,-73.783,5.877,170,44,214
Jordán,Santander,-73.096,6.733,31,23,54
Juan de Acosta,Atlántico,-75.041,10.83,80,290,370
Junín,Cundinamarca,-73.663,4.79,365,35,400
Juradó,Chocó,-77.763,7.104,4825,1375,6200
Lérida,Tolima,-74.911,4.862,3325,1709,5034
Líbano,Tolima,-75.063,4.923,16229,13595,29824
López,Cauca,-77.248,2.847,19994,8366,28360
La Apartada,Córdoba,-75.339,8.052,2423,4333,6756
La Argentina,Huila,-75.98,2.198,1969,1852,3821
La Belleza,Santander,-73.966,5.86,1532,355,1887
La Calera,Cundinamarca,-73.97,4.72,118,190,308
La Capilla,Boyacá,-73.444,5.096,39,6,45
La Ceja,Antioquia,-75.429,6.028,2065,6155,8220
La Celia,Risaralda,-76.003,5.003,899,617,1516
La Cruz,Nariño,-76.971,1.601,3110,2149,5259
La Cumbre,Valle del Cauca,-76.568,3.649,1144,618,1762
La Dorada,Caldas,-74.658,5.444,3691,7610,11301
La Esperanza,Norte de Santander,-73.328,7.64,3423,1423,4846
La Estrella,Antioquia,-75.645,6.158,580,2979,3559
La Florida,Nariño,-77.406,1.299,1557,1743,3300
La Gloria,Cesar,-73.803,8.619,6427,2920,9347
La Jagua de Ibirico,Cesar,-73.334,9.564,16565,7550,24115
La Jagua del Pilar,La Guajira,-73.072,10.51,1117,628,1745
La Llanada,Nariño,-77.581,1.473,2486,2152,4638
La Macarena,Meta,-73.787,2.178,10757,1744,12501
La Merced,Caldas,-75.548,5.395,930,269,1199
La Mesa,Cundinamarca,-74.462,4.631,758,1288,2046
La Montañita,Caquetá,-75.436,1.479,21609,6879,28488
La Palma,Cundinamarca,-74.391,5.359,15052,3170,18222
La Paz,Cesar,-73.171,10.387,15169,10708,25877
La Paz,Santander,-73.59,6.179,15169,10708,25877
